authority,username
ROLE_ORG_ADMIN,laplata_admin
ROLE_ORG_ADMIN,lappeenranta_admin
ROLE_ORG_ADMIN,laranjeiras_admin
ROLE_ORG_ADMIN,las_palmas_admin
ROLE_ORG_ADMIN,leeds_admin
ROLE_ORG_ADMIN,legaspi_city
ROLE_ORG_ADMIN,leida_admin
ROLE_ORG_ADMIN,leipzig_admin
ROLE_ORG_ADMIN,leon_admin
ROLE_ORG_ADMIN,lh_johannesburg_admin
ROLE_ORG_ADMIN,lh_pe_admin
ROLE_ORG_ADMIN,lidia
ROLE_ORG_ADMIN,limeira_admin
ROLE_ORG_ADMIN,liniers_admin
ROLE_ORG_ADMIN,lisboa_admin
ROLE_ORG_ADMIN,livermore_admin
ROLE_ORG_ADMIN,lomas_admin
ROLE_ORG_ADMIN,los_angeles_admin
ROLE_ORG_ADMIN,loughborough_admin
ROLE_ORG_ADMIN,lpr_admin
ROLE_ORG_ADMIN,lrc_admin
ROLE_ORG_ADMIN,luebeck_admin
ROLE_ORG_ADMIN,lujan_admin
ROLE_ORG_ADMIN,lusaka_admin
ROLE_ORG_ADMIN,luton_admin
ROLE_ORG_ADMIN,lyon_admin
ROLE_FORM_ADMIN,lisboa_retiros
ROLE_FORM_ADMIN,grc_admin
ROLE_FORM_ADMIN,joerdis
ROLE_ORG_ADMIN,madhuban_retreats_admin
ROLE_ORG_ADMIN,madhuban_retreats_admin2
ROLE_ORG_ADMIN,madrid_admin
ROLE_ORG_ADMIN,mahe_admin
ROLE_ORG_ADMIN,maidstone_admin
ROLE_ORG_ADMIN,maithili
ROLE_ORG_ADMIN,maithili.shetty
ROLE_ORG_ADMIN,malaga_admin
ROLE_ORG_ADMIN,mallorca_admin
ROLE_ORG_ADMIN,manila_admin
ROLE_ORG_ADMIN,manila_nco_admin
ROLE_ORG_ADMIN,manilla_nco_admin
ROLE_ORG_ADMIN,manresa_admin
ROLE_ORG_ADMIN,maputo_admin
ROLE_ORG_ADMIN,mardelplata_admin
ROLE_ORG_ADMIN,margate_admin
ROLE_ORG_ADMIN,maseru_admin
ROLE_ORG_ADMIN,maureen
ROLE_ORG_ADMIN,mayooraj
ROLE_ORG_ADMIN,mcg_admin
ROLE_ORG_ADMIN,mcity_admin
ROLE_ORG_ADMIN,mcitydf_admin
ROLE_ORG_ADMIN,mckinnon_admin
ROLE_ORG_ADMIN,medellin_admin
ROLE_ORG_ADMIN,medical_wing
ROLE_ORG_ADMIN,merida_admin
ROLE_ORG_ADMIN,mexico_admin
ROLE_ORG_ADMIN,mexico_city_admin
ROLE_ORG_ADMIN,miami_admin
ROLE_ORG_ADMIN,michaela
ROLE_ORG_ADMIN,miguel_pereira_admin
ROLE_ORG_ADMIN,milano_admin
ROLE_ORG_ADMIN,milpitas_admin
ROLE_ORG_ADMIN,miltonkeynes_admin
ROLE_ORG_ADMIN,mona
ROLE_ORG_ADMIN,monrovia_admin
ROLE_ORG_ADMIN,montego_bay_admin
ROLE_ORG_ADMIN,monterrey_admin
ROLE_ORG_ADMIN,montes_claros_admin
ROLE_ORG_ADMIN,montevideo_admin
ROLE_ORG_ADMIN,montpellier_admin
ROLE_ORG_ADMIN,montreal_admin
ROLE_ORG_ADMIN,moscow_admin
ROLE_ORG_ADMIN,mra
ROLE_ORG_ADMIN,muenchen_admin
ROLE_ORG_ADMIN,naga_admin
ROLE_ADMIN,napier_admin
ROLE_ORG_ADMIN,newcastle_admin
ROLE_ORG_ADMIN,newcastle_aus_admin
ROLE_ORG_ADMIN,newington_admin
ROLE_ORG_ADMIN,newport_admin
ROLE_ORG_ADMIN,nh_admin
ROLE_ORG_ADMIN,nibong_tebal_admin
ROLE_ORG_ADMIN,nice_admin
ROLE_ORG_ADMIN,nickerie_admin
ROLE_ORG_ADMIN,niteroi_admin
ROLE_ORG_ADMIN,north_balwyn_admin
ROLE_ORG_ADMIN,northwales_admin
ROLE_ORG_ADMIN,nottingham_admin
ROLE_ORG_ADMIN,novo_hamburgo_admin
ROLE_ORG_ADMIN,nz_admin
ROLE_ORG_ADMIN,ocala_admin
ROLE_ORG_ADMIN,odivelas_admin
ROLE_ORG_ADMIN,olinda_admin
ROLE_ORG_ADMIN,oranjestad_admin
ROLE_ORG_ADMIN,oregon_admin
ROLE_ORG_ADMIN,org_admin
ROLE_ORG_ADMIN,orlando_admin
ROLE_ORG_ADMIN,orpington_admin
ROLE_ORG_ADMIN,oslo_admin
ROLE_ORG_ADMIN,ouagadougou_admin
ROLE_ORG_ADMIN,ouro_preto_admin
ROLE_ORG_ADMIN,padbury_admin
ROLE_ORG_ADMIN,palma_admin
ROLE_ORG_ADMIN,palmas_admin
ROLE_ORG_ADMIN,pampulha_admin
ROLE_ORG_ADMIN,panama_admin
ROLE_ORG_ADMIN,paraguay_admin
ROLE_ORG_ADMIN,paramaribo_admin
ROLE_ORG_ADMIN,pdll_admin
ROLE_ORG_ADMIN,PE_admin
ROLE_ORG_ADMIN,peace_village_admin
ROLE_ORG_ADMIN,pecs_admin
ROLE_ORG_ADMIN,penang_admin
ROLE_ADMIN,penrith_admin
ROLE_ORG_ADMIN,perth_admin
ROLE_ORG_ADMIN,peru_admin
ROLE_ORG_ADMIN,petaling_jaya_admin
ROLE_ADMIN,peter
ROLE_ORG_ADMIN,peter_org_admin
ROLE_ORG_ADMIN,peterborough_admin
ROLE_ORG_ADMIN,philippines_admin
ROLE_ORG_ADMIN,phnom_penh_admin
ROLE_ORG_ADMIN,piracicaba_admin
ROLE_ORG_ADMIN,pirituba_admin
ROLE_ORG_ADMIN,pituba_admin
ROLE_ORG_ADMIN,pocuro_admin
ROLE_ORG_ADMIN,port_dickson_admin
ROLE_ORG_ADMIN,port_of_spain_admin
ROLE_ORG_ADMIN,porto_alegre_admin
ROLE_ORG_ADMIN,portoseguro_admin
ROLE_ORG_ADMIN,praca_da_arvore_admin
ROLE_ORG_ADMIN,prison_admin
ROLE_ORG_ADMIN,puglia_admin
ROLE_ORG_ADMIN,pv_special
ROLE_ORG_ADMIN,qmc_admin
ROLE_ORG_ADMIN,quatre_bornes_admin
ROLE_ORG_ADMIN,quatre_bornes_centre_admin
ROLE_ORG_ADMIN,quebec_admin
ROLE_ORG_ADMIN,quezon_admin
ROLE_ORG_ADMIN,quillota
ROLE_ORG_ADMIN,quillota_admin
ROLE_ORG_ADMIN,quintanormal_admin
ROLE_ORG_ADMIN,reading_admin
ROLE_ORG_ADMIN,recoleta_admin
ROLE_ORG_ADMIN,regensburg_admin
ROLE_ORG_ADMIN,rekha_se
ROLE_ORG_ADMIN,ricardo
